ds,Forecast
2020-01-07,28688.056113886196
2020-01-08,28714.68315055132
2020-01-09,28717.730600709074
2020-01-10,28742.648300628778
2020-01-11,28738.366134778556
2020-01-12,28732.743413648837
2020-01-13,28723.58089653893
2020-01-14,28731.88174291809
2020-01-15,28730.253143953138
2020-01-16,28706.71369179081
2020-01-17,28707.414019498723
2020-01-18,28681.929423875972
2020-01-19,28658.69193201725
2020-01-20,28635.9866602888
2020-01-21,28635.199171486576
2020-01-22,28629.205953784196
2020-01-23,28606.17339068594
2020-01-24,28612.272997468062
2020-01-25,28596.971802982
2020-01-26,28588.465423597336
2020-01-27,28584.678680342964
2020-01-28,28606.520383437746
2020-01-29,28626.284243997172
2020-01-30,28631.461040028225
2020-01-31,28667.469497855134
2020-02-01,28682.96438925525
2020-02-02,28705.28895795454
2020-02-03,28630.414698760145
2020-02-04,28579.461362463982
2020-02-05,28523.875108028285
2020-02-06,28450.342912503387
2020-02-07,28403.54342331785
2020-02-08,28331.4736074929
2020-02-09,28260.917850262544
2020-02-10,28188.483464251658
2020-02-11,28133.88837078413
2020-02-12,28068.39209997282
2020-02-13,27978.634493873225
2020-02-14,27909.38892026957
2020-02-15,27808.887949594508
2020-02-16,27704.288180363852
2020-02-17,27592.698289457603
2020-02-18,27494.456262785367
2020-02-19,27381.547220142987
2020-02-20,27241.42655143882
2020-02-21,27119.75556133956
2020-02-22,26965.708010351576
2020-02-23,26807.414707585627
2020-02-24,26642.970723281873
2020-02-25,26493.691677343097
2020-02-26,26332.511014353055
2020-02-27,26147.78346213119
2020-02-28,25986.00232182035
2020-02-29,25797.089388343826
2020-03-01,25609.825017176026
2020-03-02,25422.843207608996
2020-03-03,25257.87839546695
2020-03-04,25088.156032119445
2020-03-05,24902.192239950626
2020-03-06,24746.510211174085
2020-03-07,24570.932094614822
2020-03-08,24404.013762144947
2020-03-09,24244.047135550747
2020-03-10,24112.316518832275
2020-03-11,23981.500714332335
2020-03-12,23839.485873179423
2020-03-13,23732.09637624082
2020-03-14,23608.402099335613
2020-03-15,23496.169054488175
2020-03-16,23392.87769019393
2020-03-17,23318.99491078382
2020-03-18,23246.39123144543
2020-03-19,23162.167689839087
2020-03-20,23111.399521353364
2020-03-21,23042.454709676702
2020-03-22,22982.45421462354
2020-03-23,22928.298026054494
2020-03-24,22899.943027293943
2020-03-25,22868.824065358152
2020-03-26,22821.682885397633
2020-03-27,22803.3120252088
2020-03-28,22761.87191779851
2020-03-29,22724.348181569494
2020-03-30,22687.573458649418
2020-03-31,22671.500022382163
2020-04-01,22795.080067335195
2020-04-02,22897.692296252335
2020-04-03,23024.274774097197
2020-04-04,23123.16993780565
2020-04-05,23221.57528226637
2020-04-06,23316.559031607336
2020-04-07,23428.327195033475
2020-04-08,23528.633800878026
2020-04-09,23604.599330334473
2020-04-10,23701.444767141522
2020-04-11,23767.799778426077
2020-04-12,23831.15221282643
2020-04-13,23888.863417127544
2020-04-14,23961.435664551605
2020-04-15,24020.92335012383
2020-04-16,24054.75281019824
2020-04-17,24108.457998800834
2020-04-18,24130.990340689463
2020-04-19,24150.169748225635
2020-04-20,24163.70110862046
2020-04-21,24192.442352327183
2020-04-22,24208.81559547445
2020-04-23,24200.62607760358
2020-04-24,24213.796024228966
2020-04-25,24197.671688527582
2020-04-26,24180.470534803644
2020-04-27,24160.292889163728
2020-04-28,24158.384231077987
2020-04-29,24147.539724810224
2020-04-30,24115.915858923367
2020-05-01,24109.756507347447
2020-05-02,24078.691882171122
2020-05-03,24051.177582172768
2020-05-04,24025.498322042742
2020-05-05,24023.022785477446
2020-05-06,24016.6014719322
2020-05-07,23994.372668368098
2020-05-08,24002.484106004642
2020-05-09,23990.38899350551
2020-05-10,23986.283818552292
2020-05-11,23988.11265015312
2020-05-12,24016.824485569065
2020-05-13,24044.775560803995
2020-05-14,24059.541750229462
2020-05-15,24106.64855287897
2020-05-16,24134.87723753732
2020-05-17,24171.714364064086
2020-05-18,24214.369186864424
2020-05-19,24283.045210966196
2020-05-20,24349.357505665444
2020-05-21,24400.160554544887
2020-05-22,24480.293768754716
2020-05-23,24537.90285095549
2020-05-24,24599.90383896644
2020-05-25,24663.013953701204
2020-05-26,24747.035158328563
2020-05-27,24823.281698357696
2020-05-28,24878.416104286756
2020-05-29,24957.200474528734
2020-05-30,25007.82132600175
2020-05-31,25057.35411673874
2020-06-01,25102.792087523223
2020-06-02,25164.32503500078
2020-06-03,25213.759415912085
2020-06-04,25238.344404271815
2020-06-05,25283.510985034925
2020-06-06,25298.182345118097
2020-06-07,25310.222581142763
2020-06-08,25317.44815248351
2020-06-09,25340.888397915918
2020-06-10,25353.186894932678
2020-06-11,25342.408738632777
2020-06-12,25354.76128351534
2020-06-13,25339.887061448644
2020-06-14,25326.296328187593
2020-06-15,25312.364069082065
2020-06-16,25319.57814259371
2020-06-17,25320.930649536924
2020-06-18,25304.717853962626
2020-06-19,25317.256381366733
2020-06-20,25308.17451817173
2020-06-21,25305.846100737184
2020-06-22,25308.39178453776
2020-06-23,25336.934257170175
2020-06-24,25363.999296193728
2020-06-25,25377.3277437448
2020-06-26,25422.60580933198
2020-06-27,25448.77215852964
2020-06-28,25483.468867429925
2020-06-29,25524.06059382254
2020-06-30,25590.908069572633
2020-07-01,25655.787348726048
2020-07-02,25705.719421958314
2020-07-03,25785.717164840626
2020-07-04,25844.1076628529
2020-07-05,25907.996618272125
2020-07-06,25974.29886501642
2020-07-07,26063.02082925474
2020-07-08,26145.686168654363
2020-07-09,26209.169069179025
2020-07-10,26298.442108190455
2020-07-11,26361.89674206611
2020-07-12,26426.803211718845
2020-07-13,26490.334050332818
2020-07-14,26572.837254425973
2020-07-15,26646.250632815296
2020-07-16,26697.92214429184
2020-07-17,26773.343505309407
2020-07-18,26821.45552851651
2020-07-19,26870.092406895812
2020-07-20,26916.989556198354
2020-07-21,26983.04150033494
2020-07-22,27040.70172142781
2020-07-23,27077.789665016946
2020-07-24,27140.212523801878
2020-07-25,27177.26055623158
2020-07-26,27183.133820504645
2020-07-27,27189.67299499389
2020-07-28,27217.885131719286
2020-07-29,27240.25206880711
2020-07-30,27244.538797407164
2020-07-31,27276.51889821874
2020-08-01,27285.275657533155
2020-08-02,27298.6461147134
2020-08-03,27314.232579612173
2020-08-04,27352.667922737226
2020-08-05,27386.026277051682
2020-08-06,27401.64396756817
2020-08-07,27444.8578382187
2020-08-08,27464.31921286086
2020-08-09,27487.4503771854
2020-08-10,27511.467773118664
2020-08-11,27556.657889575024
2020-08-12,27594.79720621419
2020-08-13,27612.98076844182
2020-08-14,27656.366375740596
2020-08-15,27673.492487973115
2020-08-16,27691.736662373845
2020-08-17,27708.338698194817
2020-08-18,27743.674517138734
2020-08-19,27769.672237206836
2020-08-20,27773.635171987422
2020-08-21,27800.978938715838
2020-08-22,27800.541021744473
2020-08-23,27800.029879074886
2020-08-24,27797.038068094727
2020-08-25,27812.305732788962
2020-08-26,27818.126229507576
2020-08-27,27802.158938458564
2020-08-28,27810.15674566487
2020-08-29,27791.26682084952
2020-08-30,27773.47202705455
2020-08-31,27754.597648581934
2020-09-01,27755.569946425225
2020-09-02,27748.818437214548
2020-09-03,27722.087010872157
2020-09-04,27721.161387519307
2020-09-05,27695.17150290827
2020-09-06,27672.036071864284
2020-09-07,27649.473883211536
2020-09-08,27648.268160204047
2020-09-09,27640.67567127092
2020-09-10,27614.245466027583
2020-09-11,27614.554475648114
2020-09-12,27590.518292646324
2020-09-13,27569.844101251274
2020-09-14,27550.0500382454
2020-09-15,27551.737057890285
2020-09-16,27547.004746598937
2020-09-17,27523.275751700603
2020-09-18,27526.035887665166
2020-09-19,27504.148099196984
2020-09-20,27485.307160727927
2020-09-21,27467.059347007562
2020-09-22,27470.073150753647
2020-09-23,27466.133789422587
2020-09-24,27443.22002474198
2020-09-25,27446.982964902796
2020-09-26,27426.472731799822
2020-09-27,27409.58631266017
2020-09-28,27394.07981297935
2020-09-29,27400.831433141077
2020-09-30,27402.246919350753
2020-10-01,27386.072504292224
2020-10-02,27398.12278647313
2020-10-03,27387.58213524691
2020-10-04,27382.446917416994
2020-10-05,27380.533191902967
2020-10-06,27402.736342444634
2020-10-07,27421.434507080256
2020-10-08,27424.30088507918
2020-10-09,27457.032390807813
2020-10-10,27468.653216740386
2020-10-11,27486.960532382596
2020-10-12,27509.536854419217
2020-10-13,27557.01540853591
2020-10-14,27601.490158635985
2020-10-15,27630.335373588263
2020-10-16,27688.94196970764
2020-10-17,27726.02894665078
2020-10-18,27769.096893597365
2020-10-19,27815.44785382163
2020-10-20,27885.45763155457
2020-10-21,27950.991998608
2020-10-22,27999.231477989513
2020-10-23,28075.411781393697
2020-10-24,28128.138093777594
2020-10-25,28184.840098308734
2020-10-26,28242.79198988199
2020-10-27,28322.383566226657
2020-10-28,28395.533904149575
2020-10-29,28449.51239164637
2020-10-30,28529.67432677813
2020-10-31,28584.76944677786
2020-11-01,28642.39048177211
2020-11-02,28699.986206764876
2020-11-03,28778.125323468277
2020-11-04,28848.90293130254
2020-11-05,28899.754611095286
2020-11-06,28976.185577858905
2020-11-07,29027.073496170844
